name,nationality,birth_date,height,hand,rank,position,prize_money_year,prize_money_total,residence,birthplace,best_rank
Alan Raul SAU Franco,,,,,,,,,,,
Evan Song,USA,7 Jun 1992,1.78,Left-Handed,63,514,1.9K €,84.2K €,"Henderson, NV, USA","Las Vegas, NV, USA",314 in 07/01/2019
James Marsalek,GBR,5 Apr 1992,1.85,Right-Handed,,,,44.9K €,"London, England","Taunton, England",
Tristan Boyer,USA,21 Apr 2001,1.85,Right-Handed,11,987,1.1K €,7K €,USA,Altadena,1003 in 24/08/2020
Becker O'Shaughnessey,,,,,,,,,,,
Marco Trungelliti,ARG,31 Jan 1990,1.78,Right-Handed,219,247,58K €,845.4K €,"Ordino, Andorra","Santiago del Estero, Argentina",112 in 04/03/2019
Quentin Halys,FRA,26 Oct 1996,1.91,Right-Handed,303,206,122.1K €,886.9K €,"Boulogne-Billancourt, France","Bondy, France",102 in 05/02/2018
William Blumberg,USA,26 Jan 1998,1.88,Right-Handed,13,1706,542 €,26K €,"Greenwich CT, USA","New York, NY, USA",438 in 07/01/2019
Christian Harrison,USA,29 May 1994,1.8,Right-Handed,22,774,1.2K €,342.8K €,"Bradenton, FL, USA","Shreveport, LA, USA",198 in 02/07/2018
USA,,,,,,,,,,,
Stjepan Cagalj,,,,,,,,,,,
Patrik Sudic,,,,,,,,,,,
James Ward,GBR,9 Feb 1987,1.88,Right-Handed,170,291,28.4K €,1.3M €,"London, England","London, England",89 in 13/07/2015
Alexander Bublik,KAZ,17 Jun 1997,1.98,Right-Handed,1070,50,306.2K €,1.3M €,"Gatchina, Russia","Gatchina, Russia",47 in 24/02/2020
Gerardo López Villaseñor,MEX,12 May 1995,1.91,Right-Handed,54,547,13.1K €,52.9K €,"Puerto Vallarta, Mexico","Puerto Vallarta, Mexico",505 in 17/02/2020
Stefan Merunka,,,,,,,,,,,
Rayane Roumane,FRA,11 Sep 2000,1.93,Right-Handed,108,374,1.6K €,36.5K €,"Bagnolet, France","Montreuil, France",358 in 18/11/2019
Tomáš Machač,CZE,13 Oct 2000,1.83,Right-Handed,331,194,11.5K €,34K €,Czech republic,Beroun,246 in 31/08/2020
