name,nationality,birth_date,height,hand,rank,position,prize_money_year,prize_money_total,residence,birthplace,best_rank
Caio Zampieri,BRA,27 May 1986,1.83,Right-Handed,,,,244K €,"Sao Paulo, Brazil","Mogi Guacu, Brazil",
Filippo Leonardi,ITA,22 Dec 1987,,,,,,64.1K €,,,
Roberto Ortega-Olmedo,ESP,30 Apr 1991,1.68,Right-Handed,170,292,17.4K €,219.7K €,"Getafe, Madrid",Madrid,232 in 18/11/2019
Roy Smith,USA,13 Sep 1998,1.91,Left-Handed,48,576,1.2K €,33K €,,"New Haven, CT, USA",310 in 23/09/2019
Nicholas David Ionel,ROU,12 Oct 2002,1.83,Right-Handed,60,531,3.7K €,15.6K €,Bucharest,Bucharest,516 in 09/03/2020
Jayesh Pungliya,IND,22 Sep 1996,1.78,Right-Handed,,(2),,13K €,,"Pune, India",984 in 26/09/2016
Emil Reinberg,USA,20 Apr 1997,1.88,Right-Handed,,,,14.4K €,"Atlanta, GA","Atlanta, Georgia, USA",
Bernard Tomić,AUS,21 Oct 1992,1.96,Right-Handed,253,226,19.7K €,5.1M €,"Monte Carlo, Monaco","Stuttgart, Germany",17 in 11/01/2016
Wil Spencer,USA,8 Sep 1989,1.83,Right-Handed,2,1459,,28.6K €,,"Santa Rosa Beach, FL, USA",478 in 26/10/2015
Juan Alejandro Hernández,MEX,23 Jun 1999,1.75,Right-Handed,17,863,4.2K €,17.2K €,Acapulco,Acapulco,827 in 24/02/2020
Daniel Masur,GER,6 Nov 1994,1.83,Right-Handed,223,244,7.1K €,223.7K €,"Munich, Germany","Bueckeburg, Germany",203 in 19/06/2017
Jonathan Gomont,,,,,,,,,,,
James Cerretani,USA,2 Oct 1981,,Left-Handed,,,,,"Reading, Massachusetts","Reading, Massachusetts",
Alexander Donski,BUL,1 Aug 1998,1.88,Right-Handed,44,595,23.5K €,47.8K €,"Sofia, Bulgaria","Philadelphia, PA, USA",563 in 13/01/2020
Nikola Mektić,CRO,24 Dec 1988,1.83,Right-Handed,,,,1.1M €,"Zagreb, Croatia","Zagreb, Croatia",
Julian Reister,GER,2 Apr 1986,1.88,Right-Handed,,,,715.2K €,"Hamburg, Germany","Hamburg, Germany",
Florian Mayer,GER,5 Oct 1983,1.91,Right-Handed,,,,6.1M €,"Bayreuth, Germany","Bayreuth, Germany",
Alex Bolt,AUS,5 Jan 1993,1.83,Left-Handed,380,169,101.8K €,823.8K €,"Murray Bridge, Australia","Murray Bridge, Australia",125 in 04/03/2019
Emilio Nava,USA,2 Dec 2001,1.83,Right-Handed,33,659,3.7K €,21.6K €,,"West Hills, CA, USA",575 in 13/05/2019
Julian Ocleppo,ITA,1 Aug 1997,1.88,Right-Handed,133,327,9K €,83.8K €,Monaco,Monaco,309 in 24/02/2020
Mikhail Elgin,RUS,14 Oct 1981,1.83,Right-Handed,,,358 €,721.2K €,"St. Petersburg, Russia","St. Petersburg, Russia",
Raphael Baltensperger,SUI,18 Dec 1997,1.85,Right-Handed,15,895,217 €,24.4K €,,"Zürich, Switzerland",676 in 13/11/2017
Peng-Xiang Gong,,,,,,,,,,,
Sho Shimabukuro,JPN,30 Jul 1997,1.83,Right-Handed,76,463,758 €,20.1K €,,"Gifu, Japan",425 in 10/02/2020
Hao Wu,CHN,14 Feb 1997,1.91,Right-Handed,5,1226,,16.2K €,"Jiangsu, China","Xuzhou, China",956 in 17/09/2018
Elliot Benchetrit,FRA,2 Oct 1998,1.93,Right-Handed,255,223,61.5K €,326K €,"Nice, France","Nice, France",198 in 10/02/2020
Dragos Dima,ROU,16 Jun 1992,1.8,Right-Handed,24,759,1.7K €,79.2K €,Bucharest,Ploiesti,279 in 24/09/2018
Adrian Sikora,SVK,5 Jul 1988,,,,,,93.2K €,,,
John Hallquist Lithen,SWE,3 Dec 2001,,,3,1355,,2.1K €,,,1315 in 17/02/2020
Tomislav Brkić,BIH,9 Mar 1990,1.85,Right-Handed,40,610,433 €,238.7K €,"Ljubuski, Bosnia & Herzegovina","Mostar, Bosnia & Herzegovina",212 in 06/10/2014
Philip Bester,CAN,6 Oct 1988,1.88,Right-Handed,,,,226.7K €,"North Vancouver, Canada","Sonthoffen, Germany",
Adrien Bossel,SUI,28 Dec 1986,,,,,,137.3K €,,,
Javier Barranco Cosano,ESP,17 Nov 1998,1.75,Left-Handed,143,312,5.6K €,78.9K €,"Javea, Spain","Almeria, Spain",273 in 19/08/2019
Jordi Munoz-Abreu,VEN,17 Jan 1990,,,4,1257,,34.3K €,,,659 in 20/10/2014
Fabrizio Ornago,ITA,24 Apr 1992,1.91,Right-Handed,90,422,4.3K €,64.4K €,"Gorgonzola, Italy","Melzo, Italy",355 in 05/11/2018
Julien Dubail,BEL,14 Feb 1988,1.93,Right-Handed,,,,71K €,"Gelbressee, Belgium","Namur, Belgium",
Dominik Köepfer,GER,29 Apr 1994,1.8,Left-Handed,921,66,231.4K €,773.9K €,Tampa,"Furtwangen, Germany",61 in 28/09/2020
Nicolás Jarry,CHI,11 Oct 1995,1.98,Right-Handed,,,39.7K €,1.8M €,"Santiago, Chile","Santiago, Chile",
Roko Savin,,,,,,,,,,,
Marcus Daniell,,,,,,,,,,,
Milos Raonic,CAN,27 Dec 1990,1.96,Right-Handed,2580,14,629.7K €,16.4M €,"Monte Carlo, Monaco","Podgorica, Montenegro",3 in 21/11/2016
Hiroki Kondo,,,,,,,,,,,
Omar Jasika,AUS,18 May 1997,1.83,Left-Handed,,,,199.5K €,"Melbourne, Australia","Melbourne Victoria, Australia",
Wishaya Trongcharoenchaikul,THA,8 Apr 1995,,Right-Handed,36,639,1.7K €,63.5K €,,,395 in 08/10/2018
Florent Diep,FRA,24 Sep 1991,1.91,Right-Handed,8,1065,,51.9K €,"Monte Carlo, Monaco","Vincennes, France",592 in 20/08/2018
Pablo Cuevas,URU,1 Jan 1986,1.8,Right-Handed,917,67,341.5K €,7.5M €,"Salto, Uruguay","Concordia, Argentina",19 in 15/08/2016
Renzo Olivo,ARG,15 Mar 1992,1.8,Right-Handed,277,216,35.4K €,769.6K €,"Rosario, Argentina","Rosario, Argentina",78 in 09/01/2017
Markus Eriksson,SWE,29 Nov 1989,1.88,Right-Handed,131,331,1.6K €,169.9K €,"Gothenburg, Sweden","Gothenburg, Sweden",277 in 19/08/2019
Lingxi Zhao,CHN,7 Jan 2000,,,,,,4.3K €,,,
Dennis Uspensky,USA,22 Oct 1996,1.85,Right-Handed,33,664,560 €,19.1K €,"Delray Beach,FL,USA","New York, NY, USA",629 in 17/02/2020
Miljan Zekić,SRB,12 Jul 1988,1.85,Right-Handed,65,503,3K €,223K €,"Belgrade, Serbia","Belgrade, Serbia",188 in 11/07/2016
Mike Urbanija,SLO,26 Dec 1989,1.83,Right-Handed,7,1140,130 €,35.3K €,"Lukovica, Slovenia","Ljubljana, Slovenia",477 in 18/08/2014
Manuel Guinard,FRA,15 Nov 1995,1.96,Right-Handed,154,302,6.2K €,96K €,France,"Saint-Malo, France",284 in 31/08/2020
Jabor Al-Mutawa,,,,,,,,,,,
Bowen Ouyang,,,,,,,,,,,
Tallon Griekspoor,NED,2 Jul 1996,1.88,Right-Handed,423,150,88.1K €,349.4K €,"Nieuw Vennep, Netherlands","Haarlem, Netherlands",138 in 14/09/2020
Bumpei Sato,,,,,,,,,,,
Ryan Shane,USA,15 Apr 1994,1.93,Right-Handed,35,642,433 €,94.7K €,"Falls Church, Virginia, USA","Falls Church, Virginia, USA",333 in 29/07/2019
Martin Kližan,SVK,11 Jul 1989,1.91,Left-Handed,432,148,50.4K €,4.5M €,"Bratislava, Slovakia","Bratislava, Slovakia",24 in 27/04/2015
Matteo Martineau,FRA,16 Jan 1999,1.83,Right-Handed,87,432,6.2K €,59.5K €,"La Motte Servolex, France","Angers, France",402 in 12/08/2019
Victor Estrella Burgos,DOM,2 Aug 1980,1.7,Right-Handed,15,886,,1.8M €,"Santiago, Dominican Republic","Santiago, Dominican Republic",43 in 13/07/2015
Jurabek Karimov,UZB,4 Jun 1998,1.93,Right-Handed,42,601,1.2K €,51.4K €,"Tashkent, Uzbekistan","Tashkent, Uzbekistan",426 in 27/08/2018
Eduardo Schwank,,,,,,,,,,,
Jiří Veselý,CZE,10 Jul 1993,1.98,Left-Handed,913,68,170.7K €,3.4M €,"Ras Al Khaimah, UAE","Pribram, Czech Republic",35 in 27/04/2015
Gustav Hansson,SWE,15 Apr 1995,1.91,Right-Handed,30,688,,18.1K €,Malmö,Karlskrona,540 in 13/08/2018
Alexander Perfilov,,,,,,,,,,,
Alibek Kachmazov,RUS,17 Aug 2002,,Right-Handed,20,809,690 €,11.4K €,,,869 in 24/02/2020
Adrian Obert,GER,19 Mar 1995,,Right-Handed,34,651,347 €,20.8K €,,,631 in 17/02/2020
Brydan Klein,GBR,31 Dec 1989,1.88,Right-Handed,103,388,3.9K €,589.8K €,"Perth, Australia","Perth, Australia",169 in 28/09/2015
Guido Andreozzi,ARG,5 Aug 1991,1.83,Right-Handed,389,163,,1M €,"Buenos Aires, Argentina","Buenos Aires, Argentina",70 in 28/01/2019
Benjamin Becker,GER,16 Jun 1981,1.78,Right-Handed,,,,3.7M €,"Dallas, TX, USA","Merzig, Germany",
Adam Moundir,MAR,26 Apr 1995,1.91,Right-Handed,69,491,658 €,25.3K €,Switzerland,"Saint Louis, France",437 in 18/11/2019
Maximilian Neuchrist,AUT,22 Jul 1991,,Right-Handed,36,637,998 €,157.4K €,,,244 in 30/07/2018
Federico Delbonis,ARG,5 Oct 1990,1.93,Left-Handed,825,82,192.7K €,3.6M €,"Azul, Argentina","Azul, Argentina",33 in 09/05/2016
Martín Cuevas,URU,14 Jan 1992,1.91,Right-Handed,72,477,15.6K €,144.1K €,"Salto, Uruguay","Salto, Uruguay",271 in 09/04/2018
Leonardo Kirche,,,,,,,,,,,
Jack Mingjie Lin,CAN,15 Apr 1999,,,3,1339,,14.1K €,,,605 in 15/07/2019
Jay Clarke,GBR,27 Jul 1998,1.88,Right-Handed,340,187,17.8K €,379.6K €,"Derby, Great Britain","Derby, England",153 in 22/07/2019
Djordje Djokovic,,,,,,,,,,,
Nino Serdarušić,CRO,13 Dec 1996,1.91,Right-Handed,168,293,20.3K €,188.3K €,"Zagreb, Croatia","Zagreb, Croatia",192 in 06/08/2018
Leonardo Mayer,ARG,15 May 1987,1.91,Right-Handed,482,134,138.4K €,5.8M €,"Buenos Aires, Argentina","Corrientes, Argentina",21 in 22/06/2015
Vasil Kirkov,USA,13 Mar 1999,1.85,Right-Handed,48,577,2.7K €,34.4K €,"Tampa, Florida",Asenovgrad,570 in 16/03/2020
Milan Welte,GER,30 Jun 2001,,,13,935,4.5K €,10.7K €,,,911 in 09/03/2020
Jordi Samper-Montaña,ESP,5 Apr 1990,,Right-Handed,9,1033,,270.8K €,,,179 in 22/08/2016
Tom Jomby,FRA,18 Feb 1991,1.98,Right-Handed,46,584,,64.7K €,"Paris, France","La Roche-sur-Yon, France",313 in 12/11/2018
Julien Mathieu,,,,,,,,,,,
Vasile Antonescu,ROU,24 Mar 1990,1.83,Right-Handed,8,1075,885 €,54.1K €,"Constanta, Romania","Constanta, Romania",465 in 18/05/2015
Haitong Xia,CHN,8 Jan 1996,1.85,Right-Handed,7,1105,,5.5K €,Yuexiu District of Guangzhou,"Wuhan, China",1027 in 21/10/2019
Alejandro Gómez,COL,14 Aug 1991,1.83,Right-Handed,62,518,2.6K €,78.3K €,"Cali, Colombia","Cali, Colombia",352 in 20/03/2017
Takuto Niki,JPN,12 Oct 1987,1.83,Right-Handed,44,592,433 €,133.2K €,"Kobe, Japan","San Diego,CA, USA",278 in 23/03/2015
Eduardo Struvay,COL,17 Dec 1990,,,91,417,993 €,217.8K €,,,158 in 13/06/2016
Marc Polmans,AUS,2 May 1997,1.88,Right-Handed,539,124,220.5K €,721.2K €,"Melbourne, Australia","Amanzimtoti, South Africa",116 in 12/10/2020
Yuki Bhambri,IND,4 Jul 1992,1.85,Right-Handed,,,,761.4K €,"New Delhi, India","New Delhi, India",
Nicholas Monroe,,,,,,,,,,,
Florin Mergea,,,,,,,,,,,
Romain Arneodo,MON,4 Aug 1992,1.75,Right-Handed,,,,170.3K €,"Monte Carlo, Monaco","Cannes, France",
Gabriel Petit,FRA,22 Aug 1995,1.8,Right-Handed,61,527,2.5K €,41.7K €,"Nice, France","Dinan, France",450 in 17/12/2018
Jeevan Nedunchezhiyan,IND,20 Oct 1988,1.73,Left-Handed,,,,223.2K €,"Chennai, India","Chennai, India",
Matias Castro,,,,,,,,,,,
Yahor Yatsyk,BLR,6 Aug 1992,,Right-Handed,,,,12.8K €,,,
Jules Marie,FRA,1 Sep 1991,1.85,Right-Handed,18,832,2.5K €,74.5K €,France,France,228 in 09/03/2015
Jathan Malik,,,,,,,,,,,
Cheng-Peng Hsieh,,,,,,,,,,,
Carlos Alcaraz,ESP,5 May 2003,1.85,Right-Handed,464,140,45.2K €,55.8K €,"El Palmar, Murcia, Spain","El Palmar, Murcia, Spain",186 in 14/09/2020
Jack Draper,GBR,22 Dec 2001,1.91,Left-Handed,153,303,6.3K €,59.2K €,London,"Sutton, England",283 in 24/08/2020
Long Chen,,,,,,,,,,,
Jaroslav Pospíšil,CZE,9 Feb 1981,1.78,Right-Handed,34,650,1.6K €,463.8K €,"Prostejov, Czech Republic","Prostejov, Czech Republic",103 in 23/05/2011
Roberto Cid Subervi,DOM,30 Aug 1993,1.93,Right-Handed,253,228,22.1K €,122.7K €,"Tampa, FL",Santo Domingo,211 in 14/09/2020
Ti Chen,TPE,3 Oct 1983,1.78,Right-Handed,6,1162,,444.2K €,Taiwan,keelung,184 in 14/09/2015
Scott Jones,,,,,,,,,,,
Jerzy Janowicz,POL,13 Nov 1990,2.03,Right-Handed,68,496,7.3K €,3.1M €,"Lodz, Poland","Lodz, Poland",14 in 12/08/2013
Dominic Inglot,,,,,,,,,,,
Fernando Cabrera,,,,,,,,,,,
Sander Groen,,,,,,,,,,,
Marek Michalička,CZE,23 Dec 1986,1.83,Right-Handed,,,,119.9K €,"Ricany, Czech Republic","Prague, Czech Republic",
Philipp Scholz,,,,,,,,,,,
Malika Auger-Alliassime,,,,,,,,,,,
Alexander Mannapov,,,,,,,,,,,
Pietro Licciardi,ITA,17 May 1994,,Left-Handed,,,,44.4K €,,,
Calvin Hemery,FRA,28 Jan 1995,1.91,Right-Handed,76,464,1.8K €,369.8K €,"Paris, France","Les Lilas, France",116 in 30/04/2018
Thales Turini,BRA,18 Jul 1989,,,,,,96.6K €,,,
Janko Tipsarević,SRB,22 Jun 1984,1.8,Right-Handed,208,263,,7.2M €,"Belgrade, Serbia","Belgrade, Serbia",8 in 02/04/2012
Jared Donaldson,USA,9 Oct 1996,1.88,Right-Handed,25,738,,1.7M €,"Irvine, CA, USA","Providence, RI, USA",48 in 05/03/2018
Taha Tifnouti,,,,,,,,,,,
Deiton Baughman,USA,23 Apr 1996,,,,,,55.3K €,,,
Richard Gasquet,FRA,18 Jun 1986,1.83,Right-Handed,1145,47,281.9K €,15.4M €,"Neuchatel, Switzerland","Beziers, France",7 in 09/07/2007
Luka Zaninovic,,,,,,,,,,,
Simon Cauvard,,,,,,,,,,,
Raswant Ravi,,,,,,,,,,,
Daniel Evans,GBR,23 May 1990,1.75,Right-Handed,1589,32,693.3K €,2.7M €,"Birmingham, England","Birmingham, England",28 in 02/03/2020
Felix Auger-Aliassime,CAN,8 Aug 2000,1.93,Right-Handed,2216,21,803.7K €,2.4M €,"Monte Carlo, Monaco","Montreal, Canada",17 in 14/10/2019
Walter Trusendi,ITA,3 Jan 1985,,,3,1390,,160.4K €,,,299 in 29/08/2011
Luciano Darderi,ITA,14 Feb 2002,,,10,998,4.5K €,5.8K €,,,981 in 14/09/2020
Shahbaaz Khan,,,,,,,,,,,
Farrukh Dustov,UZB,22 May 1986,1.93,Right-Handed,,,,426.4K €,"Tashkent, Uzbekistan","Tashkent, Uzbekistan",
Flavio Cipolla,ITA,20 Oct 1983,1.73,Right-Handed,,,,1.4M €,"Rome, Italy","Rome, Italy",
Brandon Walkin,AUS,16 Aug 1994,1.88,Right-Handed,26,735,1.4K €,21.2K €,Australia,"Brisbane, Australia",702 in 17/02/2020
Diego Schwartzman,ARG,16 Aug 1992,1.7,Right-Handed,3455,9,1.1M €,7.4M €,"Buenos Aires, Argentina","Buenos Aires, Argentina",8 in 12/10/2020
Borna Ćorić,CRO,14 Nov 1996,1.88,Right-Handed,1855,24,779K €,6.8M €,"Dubai, UAE","Zagreb, Croatia",12 in 05/11/2018
Kirill Dmitriev,RUS,9 Aug 1991,1.91,Right-Handed,,,,40.9K €,Spain/Russia,Ufa,
Muhammad-Ashaari Bin Zainal-Abidin,,,,,,,,,,,
Yaraslav Shyla,BLR,5 Mar 1993,1.93,Right-Handed,11,974,1.6K €,111.8K €,"Minsk, Belarus","Minsk, Belarus",306 in 22/06/2015
Mohit Mayur Jayaprakash,IND,14 Sep 1993,1.78,Right-Handed,,,,28.6K €,"Chennai, India","Mumbai, India",
Francis Casey Alcantara,PHI,4 Feb 1992,1.7,Right-Handed,,,,23.6K €,"Manila, Philippines",Cagayan de Oro City,
Evgeny Karlovskiy,RUS,7 Aug 1994,1.91,Right-Handed,211,258,10.1K €,197.8K €,"Moscow, Russia","Moscow, Russia",211 in 17/06/2019
Arthur Surreaux,,,,,,,,,,,
Patrick Ciorcila,,,,,,,,,,,
Ilija Vucic,SRB,17 Oct 1990,1.88,Right-Handed,,,,50.4K €,"Belgrade, Serbia","Belgrade, Serbia",
Riccardo Balzerani,ITA,25 Oct 1998,1.85,Right-Handed,63,515,1.3K €,45.5K €,Rieti,"Rieti, Italy",469 in 13/01/2020
Andrea Arnaboldi,ITA,27 Dec 1987,1.8,Left-Handed,191,276,9.8K €,711.2K €,"Cantu, Italy","Milan, Italy",153 in 12/10/2015
Andrei Patrui,,,,,,,,,,,
Ze Zhang,CHN,4 Jul 1990,1.88,Right-Handed,92,415,932 €,915.9K €,"Nanjing, China","Nanjing, China",148 in 27/05/2013
Albert Ramos-Viñolas,ESP,17 Jan 1988,1.88,Left-Handed,1165,46,295.8K €,6.5M €,"La Massana, Andorra","Barcelona, Spain",17 in 08/05/2017
Shalva Dzhanashia,RUS,26 Aug 1992,1.78,Left-Handed,28,715,950 €,31.7K €,"Moscow, Russia","Moscow, Russia",582 in 10/12/2018
Justin Shane,,,,,,,,,,,
Nathan Pasha,USA,15 Jul 1992,1.91,Right-Handed,,,,66.8K €,"Atlanta, GA, USA","Atlanta, GA, USA",
Matthias Haim,AUT,11 Jan 1998,1.96,Right-Handed,,,,21.1K €,Dornbirn,Hall in Tirol,
Hanyi Liu,CHN,23 May 2001,1.85,Right-Handed,4,1331,650 €,9K €,Shanghai,Shanghai,1221 in 13/01/2020
Marc Sieber,GER,28 Feb 1988,1.78,Left-Handed,,,,102.1K €,Munich,"Straubing, Germany",
Carlos Berlocq,ARG,3 Feb 1983,1.83,Right-Handed,,,,3.5M €,"Buenos Aires, Argentina","Chascomus, Argentina",
Carlos Ramirez Utermann,,,,,,,,,,,
Ernests Gulbis,LAT,30 Aug 1988,1.91,Right-Handed,351,181,145K €,6.2M €,"Jurmala, Latvia","Riga, Latvia",10 in 09/06/2014
Gianluca Mager,ITA,1 Dec 1994,1.88,Right-Handed,725,99,259.2K €,468.9K €,"Sanremo, Italy","Sanremo, Italy",77 in 24/02/2020
Nik Razborsek,SLO,4 Oct 1993,1.73,Left-Handed,27,722,345 €,47.3K €,"Litija, Slovenia","Ljubljana, Slovenia",409 in 17/12/2018
Joshua Ward Hibbert,,,,,,,,,,,
Horacio Zeballos,ARG,27 Apr 1985,1.88,Left-Handed,,,1.1K €,3.9M €,"Buenos Aires, Argentina","Mar del Plata, Argentina",
Alex Bogomolov Jr,,,,,,,,,,,
Robert Maciag,,,,,,,,,,,
Filippo Baldi,ITA,10 Jan 1996,1.83,Right-Handed,225,240,22K €,210.4K €,"Vigevano, Italy","Milan, Italy",144 in 29/07/2019
Cristian Garín,CHI,30 May 1996,1.85,Right-Handed,2170,22,703.1K €,2M €,"Santiago, Chile","Santiago, Chile",18 in 24/02/2020
Maximilian Marterer,GER,15 Jun 1995,1.88,Left-Handed,300,209,26.4K €,1.2M €,"Stein, Germany","Nuremberg, Germany",45 in 13/08/2018
Rafael Matos,BRA,6 Jan 1996,1.83,Left-Handed,65,504,867 €,79.9K €,"Porto Alegre, Brazil","Porto Alegre, Brazil",440 in 21/05/2018
Alex Kuznetsov,USA,5 Feb 1987,1.83,Right-Handed,,,,770.4K €,"Tampa, FL, USA","Kiev, Ukraine",
Tennys Sandgren,USA,22 Jul 1991,1.88,Right-Handed,1081,49,476.6K €,2.3M €,"Gallatin, TN, USA","Gallatin, TN, USA",41 in 14/01/2019
Frank Moser,,,,,,,,,,,
Peter Polansky,CAN,15 Jun 1988,1.83,Right-Handed,270,218,21.5K €,1.3M €,"Toronto, Canada","Toronto, Canada",110 in 25/06/2018
Elrich M.,,,,,,,,,,,
Alejandro Mendoza,BOL,2 Feb 1990,1.83,Right-Handed,20,818,563 €,31.8K €,,"La Paz, Bolivia",741 in 01/08/2016
João Pedro Sorgi,BRA,18 Oct 1993,1.88,Right-Handed,33,660,1.4K €,104.3K €,"Sertaozinho, SP",Sertaozinho,251 in 18/09/2017
Adrian Andreev,BUL,12 May 2001,1.8,Right-Handed,38,622,23.2K €,44.3K €,"Sofia, Bulgaria","Sofia, Bulgaria",645 in 17/02/2020
Nikola Ćaćić,SRB,7 Dec 1990,1.83,Right-Handed,3,1339,,392.8K €,"Belgrade, Serbia","Banja Luka, Bosnia-Herzegovina",281 in 08/09/2014
Julien Benneteau,FRA,20 Dec 1981,1.85,Right-Handed,,,,8M €,"Boulogne-Billancourt, France","Bourg-en-Bresse, France",
Antonio Šančić,CRO,23 Nov 1988,1.8,Right-Handed,,,,197.5K €,"Samobor, Croatia","Brezice, Slovenia",
Vitaly Kozyukov,RUS,2 Jun 1994,1.88,Right-Handed,,,,23.4K €,,"Monino, Russia",
Matias Gaedechens,,,,,,,,,,,
Mikalai Haliak,BLR,14 Aug 1998,1.83,Right-Handed,11,989,1.5K €,22.7K €,"Minsk, Belarus","Minsk, Belarus",787 in 01/10/2018
Geoffrey Blancaneaux,FRA,8 Aug 1998,1.8,Right-Handed,178,283,11.3K €,200.3K €,"Paris, France","Paris, France",264 in 02/03/2020
Ji Sung Nam,KOR,15 Aug 1993,1.83,Right-Handed,203,269,14.2K €,153K €,"Sejong, Korea","Busan, Korea",236 in 12/08/2019
Franco Roncadelli,,,,,,,,,,,
Richard Muzaev,RUS,21 Mar 1992,1.78,Right-Handed,3,1379,130 €,50.6K €,"Moscow, Russia","Vladikavkaz, Russia",560 in 20/10/2014
Frederico Ferreira Silva,POR,18 Mar 1995,1.78,Left-Handed,349,183,55.7K €,228K €,Caldas da Rainha,"Caldas da Rainha, Portugal",174 in 11/11/2019
Daniel Elahi Galán,COL,18 Jun 1996,1.91,Right-Handed,577,117,198.4K €,461K €,"Bogota, Colombia","Bucaramanga, Colombia",128 in 12/10/2020
Bernabé Zapata Miralles,ESP,12 Jan 1997,1.83,Right-Handed,414,155,39.4K €,170.2K €,"Valencia, Spain","Valencia, Spain",144 in 14/09/2020
Camilo Andres Erazo,,,,,,,,,,,
Jie Cui,CHN,24 Jan 1998,1.83,Right-Handed,39,617,130 €,30.3K €,,"Beijing, China",568 in 04/11/2019
William Boe-Wiegaard,,,,,,,,,,,
Aslan Karatsev,RUS,4 Sep 1993,1.85,Right-Handed,637,111,54.1K €,309.3K €,,Vladikavkaz,116 in 14/09/2020
Zsombor Piros,HUN,13 Oct 1999,1.8,Right-Handed,86,433,2.3K €,56.4K €,"Budapest, Hungary","Budapest, Hungary",338 in 24/12/2018
Hiroyasu Ehara,JPN,18 Jun 1991,,,20,807,130 €,87.8K €,,,330 in 21/09/2015
Ken Skupski,,,,,,,,,,,
Charly Zick,GER,3 Sep 1996,1.75,Right-Handed,,,,2K €,"Karlsfeld, Germany","Dresden, Germany",
Daniel Glancy,,,,,,,,,,,
Tobias Simon,GER,18 May 1991,1.98,Right-Handed,95,408,6.1K €,66.3K €,"Munich, Germany","Munich, Germany",391 in 16/03/2020
Mehdi Jdi,,,,,,,,,,,
Carl Söderlund,SWE,3 Jun 1997,1.88,Right-Handed,17,845,,26.9K €,Sweden,"Stockholm, Sweden",387 in 08/05/2017
Florent Serra,FRA,28 Feb 1981,1.8,Right-Handed,,,,2.5M €,"Issy-les-Moulineaux, France","Bordeaux, France",
